"","unique(df_excl$country)"
"1","Argentina"
"2","Australia"
"3","Austria"
"4","Belgium"
"5","Brazil"
"6","Bulgaria"
"7","Canada"
"8","Chile"
"9","China"
"10","Colombia"
"11","Czech Republic"
"12","Denmark"
"13","Finland"
"14","France"
"15","Germany"
"16","Greece"
"17","Hungary"
"18","India"
"19","Indonesia"
"20","Ireland"
"21","Italy"
"22","Japan"
"23","Mexico"
"24","Netherlands"
"25","New Zealand"
"26","Norway"
"27","Peru"
"28","Poland"
"29","Portugal"
"30","Romania"
"31","Russia"
"32","Saudi Arabia"
"33","Slovak Republic"
"34","South Africa"
"35","South Korea"
"36","Spain"
"37","Sweden"
"38","Switzerland"
"39","Turkey"
"40","United Kingdom"
"41","United States"
